name,iso,id,country,admin_level,category,range_type,range,population,under_5_population,under_5_population_share,under_5_population_interval,under_5_population_interval_share,school_age_population,school_age_population_share,school_age_population_interval,school_age_population_interval_share,adults_population,adults_population_share,adults_population_interval,adults_population_interval_share,women_childbearing_population,women_childbearing_population_share,women_childbearing_population_interval,women_childbearing_population_interval_share,elderly_population,elderly_population_share,elderly_population_interval,elderly_population_interval_share,population_share,population_interval,population_interval_share
Chuadanga,,16705992B19758630986204,BGD,ADM2,primary_healthcare,TIME,3000,1124547,82739,91.13,26191,28.85,363762,91.12,115181,28.85,1041418,91.13,329831,28.86,340744,91.13,107942,28.87,91925,91.11,29081,28.82,91.13,356127,28.86
Chuadanga,,16705992B19758630986204,BGD,ADM2,primary_healthcare,TIME,3600,1182286,86985,95.8,4246,4.68,382436,95.8,18674,4.68,1094897,95.81,53479,4.68,358248,95.81,17504,4.68,96637,95.78,4712,4.67,95.81,57739,4.68
Chuadanga,,16705992B19758630986204,BGD,ADM2,primary_healthcare,TIME,4200,1210577,89066,98.09,2081,2.29,391586,98.09,9150,2.29,1121099,98.1,26202,2.29,366823,98.1,8575,2.29,98947,98.07,2310,2.29,98.1,28291,2.29
Chuadanga,,16705992B19758630986204,BGD,ADM2,primary_healthcare,TIME,4800,1212758,89226,98.27,160,0.18,392292,98.27,706,0.18,1123119,98.28,2020,0.18,367484,98.28,661,0.18,99125,98.25,178,0.18,98.27,2181,0.18
Chuadanga,,16705992B19758630986204,BGD,ADM2,primary_healthcare,TIME,5400,1219323,89709,98.8,483,0.53,394416,98.8,2124,0.53,1129199,98.81,6080,0.53,369473,98.81,1989,0.53,99662,98.78,537,0.53,98.81,6565,0.53
Chuadanga,,16705992B19758630986204,BGD,ADM2,primary_healthcare,TIME,6000,1219440,89718,98.81,9,0.01,394454,98.81,38,0.01,1129307,98.82,108,0.01,369508,98.82,35,0.01,99672,98.79,10,0.01,98.82,117,0.01
Chuadanga,,16705992B19758630986204,BGD,ADM2,primary_healthcare,TIME,6600,1219441,89718,98.81,0,0.0,394454,98.81,0,0.0,1129308,98.82,1,0.0,369508,98.82,0,0.0,99672,98.79,0,0.0,98.82,1,0.0
Chuadanga,,16705992B19758630986204,BGD,ADM2,primary_healthcare,TIME,7200,1219459,89719,98.81,1,0.0,394460,98.81,6,0.0,1129325,98.82,17,0.0,369514,98.82,6,0.0,99674,98.79,2,0.0,98.82,18,0.0
Kushtia,,16705992B21124734124900,BGD,ADM2,primary_healthcare,TIME,600,371134,28030,17.82,28030,17.82,120883,17.82,120883,17.82,342251,17.82,342251,17.82,110627,17.82,110627,17.82,31785,17.83,31785,17.83,17.82,371134,17.82
Kushtia,,16705992B21124734124900,BGD,ADM2,primary_healthcare,TIME,1200,679003,51282,32.6,23252,14.78,221160,32.61,100277,14.78,626161,32.61,283910,14.78,202396,32.6,91769,14.78,58153,32.62,26368,14.79,32.61,307869,14.79
Kushtia,,16705992B21124734124900,BGD,ADM2,primary_healthcare,TIME,1800,958652,72445,46.06,21163,13.45,312333,46.05,91173,13.44,884058,46.04,257897,13.43,285740,46.02,83344,13.42,82093,46.05,23940,13.43,46.04,279649,13.43
Kushtia,,16705992B21124734124900,BGD,ADM2,primary_healthcare,TIME,2400,1386493,104759,66.6,32314,20.54,451678,66.6,139345,20.55,1278629,66.59,394571,20.55,413325,66.58,127585,20.55,118710,66.59,36617,20.54,66.59,427841,20.55
Kushtia,,16705992B21124734124900,BGD,ADM2,primary_healthcare,TIME,3000,1674310,126472,80.41,21713,13.8,545372,80.41,93694,13.81,1544070,80.41,265441,13.82,499190,80.41,85865,13.83,143338,80.41,24628,13.82,80.41,287817,13.82
Kushtia,,16705992B21124734124900,BGD,ADM2,primary_healthcare,TIME,3600,1912003,144417,91.82,17945,11.41,622765,91.82,77393,11.41,1763272,91.82,219202,11.42,570077,91.82,70887,11.42,163688,91.82,20350,11.42,91.82,237693,11.42
Kushtia,,16705992B21124734124900,BGD,ADM2,primary_healthcare,TIME,4200,1931367,145888,92.75,1471,0.94,629091,92.75,6326,0.93,1781131,92.75,17859,0.93,575845,92.75,5768,0.93,165344,92.75,1656,0.93,92.75,19364,0.93
Kushtia,,16705992B21124734124900,BGD,ADM2,primary_healthcare,TIME,4800,1954009,147598,93.84,1710,1.09,636461,93.84,7370,1.09,1802011,93.84,20880,1.09,582598,93.84,6753,1.09,167283,93.84,1939,1.09,93.84,22642,1.09
Kushtia,,16705992B21124734124900,BGD,ADM2,primary_healthcare,TIME,5400,1965709,148483,94.4,885,0.56,640275,94.4,3814,0.56,1812801,94.4,10790,0.56,586085,94.4,3487,0.56,168285,94.4,1002,0.56,94.4,11700,0.56
Kushtia,,16705992B21124734124900,BGD,ADM2,primary_healthcare,TIME,6000,2021548,152706,97.09,4223,2.68,658477,97.09,18202,2.68,1864296,97.08,51495,2.68,602726,97.08,16641,2.68,173066,97.08,4781,2.68,97.08,55839,2.68
Kushtia,,16705992B21124734124900,BGD,ADM2,primary_healthcare,TIME,6600,2024028,152894,97.21,188,0.12,659285,97.21,808,0.12,1866582,97.2,2286,0.12,603465,97.2,739,0.12,173279,97.2,213,0.12,97.2,2480,0.12
Kushtia,,16705992B21124734124900,BGD,ADM2,primary_healthcare,TIME,7200,2026387,153072,97.32,178,0.11,660053,97.32,768,0.11,1868757,97.32,2175,0.11,604168,97.31,703,0.11,173481,97.32,202,0.11,97.32,2359,0.11
Khulna,,16705992B21968895988188,BGD,ADM2,primary_healthcare,TIME,600,1336115,93178,57.61,93178,57.61,430156,57.65,430156,57.65,1231864,57.71,1231864,57.71,400070,57.68,400070,57.68,114702,57.59,114702,57.59,57.7,1336115,57.7
Khulna,,16705992B21968895988188,BGD,ADM2,primary_healthcare,TIME,1200,1657427,115736,71.56,22558,13.95,533968,71.56,103812,13.91,1527939,71.58,296075,13.87,496360,71.57,96290,13.88,142453,71.52,27751,13.93,71.57,321312,13.88
Khulna,,16705992B21968895988188,BGD,ADM2,primary_healthcare,TIME,1800,1839871,128515,79.46,12779,7.9,592875,79.45,58907,7.89,1696025,79.45,168086,7.87,551020,79.45,54660,7.88,158238,79.45,15785,7.93,79.45,182444,7.88
Khulna,,16705992B21968895988188,BGD,ADM2,primary_healthcare,TIME,2400,2008417,140288,86.74,11773,7.28,647193,86.73,54318,7.28,1851382,86.73,155357,7.28,601484,86.72,50464,7.28,172746,86.73,14508,7.28,86.73,168546,7.28
Khulna,,16705992B21968895988188,BGD,ADM2,primary_healthcare,TIME,3000,2098217,146554,90.62,6266,3.87,676125,90.61,28932,3.88,1934155,90.61,82773,3.88,628393,90.6,26909,3.88,180474,90.61,7728,3.88,90.61,89800,3.88
Khulna,,16705992B21968895988188,BGD,ADM2,primary_healthcare,TIME,3600,2122909,148276,91.68,1722,1.06,684074,91.68,7949,1.07,1956921,91.67,22766,1.07,635787,91.67,7394,1.07,182594,91.68,2120,1.06,91.67,24692,1.07
Khulna,,16705992B21968895988188,BGD,ADM2,primary_healthcare,TIME,4200,2242686,156637,96.85,8361,5.17,722671,96.85,38597,5.17,2067325,96.85,110404,5.17,671685,96.85,35898,5.18,192904,96.85,10310,5.18,96.85,119777,5.17
Khulna,,16705992B21968895988188,BGD,ADM2,primary_healthcare,TIME,4800,2251556,157255,97.23,618,0.38,725526,97.23,2855,0.38,2075503,97.23,8178,0.38,674341,97.23,2656,0.38,193665,97.23,761,0.38,97.23,8870,0.38
Khulna,,16705992B21968895988188,BGD,ADM2,primary_healthcare,TIME,5400,2255348,157520,97.4,265,0.16,726747,97.4,1221,0.16,2078999,97.39,3496,0.16,675476,97.39,1135,0.16,193991,97.4,326,0.16,97.39,3792,0.16
Khulna,,16705992B21968895988188,BGD,ADM2,primary_healthcare,TIME,6000,2262386,158010,97.7,490,0.3,729012,97.7,2265,0.3,2085489,97.7,6490,0.3,677583,97.7,2107,0.3,194595,97.7,604,0.3,97.7,7038,0.3
Khulna,,16705992B21968895988188,BGD,ADM2,primary_healthcare,TIME,6600,2263791,158108,97.76,98,0.06,729465,97.76,453,0.06,2086784,97.76,1295,0.06,678004,97.76,421,0.06,194716,97.76,121,0.06,97.76,1405,0.06
Khulna,,16705992B21968895988188,BGD,ADM2,primary_healthcare,TIME,7200,2266442,158293,97.88,185,0.11,730318,97.87,853,0.11,2089228,97.87,2444,0.11,678798,97.87,794,0.11,194943,97.88,227,0.11,97.87,2651,0.11
Joypurhat,,16705992B2288856744536,BGD,ADM2,primary_healthcare,TIME,600,125479,8679,13.5,8679,13.5,37514,13.5,37514,13.5,115631,13.51,115631,13.51,38334,13.51,38334,13.51,10830,13.52,10830,13.52,13.51,125479,13.51
Joypurhat,,16705992B2288856744536,BGD,ADM2,primary_healthcare,TIME,1200,325191,22501,34.99,13822,21.49,97252,35.0,59738,21.5,299672,35.01,184041,21.5,99338,35.01,61004,21.5,28063,35.02,17233,21.51,35.01,199712,21.5
Joypurhat,,16705992B2288856744536,BGD,ADM2,primary_healthcare,TIME,1800,493522,34164,53.13,11663,18.14,147638,53.13,50386,18.13,454800,53.13,155128,18.12,150748,53.13,51410,18.12,42582,53.14,14519,18.12,53.14,168331,18.12
Joypurhat,,16705992B2288856744536,BGD,ADM2,primary_healthcare,TIME,2400,729689,50520,78.56,16356,25.43,218311,78.56,70673,25.43,672445,78.56,217645,25.43,222893,78.56,72145,25.43,62952,78.56,20370,25.42,78.56,236167,25.43
Joypurhat,,16705992B2288856744536,BGD,ADM2,primary_healthcare,TIME,3000,857774,59386,92.35,8866,13.79,256625,92.35,38314,13.79,790480,92.35,118035,13.79,262020,92.35,39127,13.79,74003,92.35,11051,13.79,92.35,128085,13.79
Joypurhat,,16705992B2288856744536,BGD,ADM2,primary_healthcare,TIME,3600,928806,64307,100.0,4921,7.65,277886,100.0,21261,7.65,855942,100.0,65462,7.65,283718,100.0,21698,7.65,80129,100.0,6126,7.65,100.0,71032,7.65
Joypurhat,,16705992B2288856744536,BGD,ADM2,primary_healthcare,TIME,4200,928806,64307,100.0,0,0.0,277886,100.0,0,0.0,855942,100.0,0,0.0,283718,100.0,0,0.0,80129,100.0,0,0.0,100.0,0,0.0
Joypurhat,,16705992B2288856744536,BGD,ADM2,primary_healthcare,TIME,4800,928806,64307,100.0,0,0.0,277886,100.0,0,0.0,855942,100.0,0,0.0,283718,100.0,0,0.0,80129,100.0,0,0.0,100.0,0,0.0
