name,iso,id,country,admin_level,category,range_type,range,population,school_age_population,school_age_population_share,school_age_population_interval,school_age_population_interval_share,population_share,population_interval,population_interval_share
Joypurhat,,16705992B2288856744536,BGD,ADM2,education,DISTANCE,30000,652656,195301,70.28,12466,4.49,70.27,41599,4.48
Joypurhat,,16705992B2288856744536,BGD,ADM2,education,DISTANCE,35000,817476,244578,88.01,49277,17.73,88.01,164820,17.75
Joypurhat,,16705992B2288856744536,BGD,ADM2,education,DISTANCE,40000,899693,269183,96.87,24605,8.85,96.87,82217,8.85
Joypurhat,,16705992B2288856744536,BGD,ADM2,education,DISTANCE,45000,928806,277886,100.0,8703,3.13,100.0,29113,3.13
Joypurhat,,16705992B2288856744536,BGD,ADM2,education,DISTANCE,50000,928806,277886,100.0,0,0.0,100.0,0,0.0
Bandarban,,16705992B23463827258150,BGD,ADM2,education,DISTANCE,5000,160617,67069,30.17,67069,30.17,30.05,160617,30.05
Bandarban,,16705992B23463827258150,BGD,ADM2,education,DISTANCE,10000,223048,93115,41.88,26046,11.72,41.73,62431,11.68
Bandarban,,16705992B23463827258150,BGD,ADM2,education,DISTANCE,15000,241559,100685,45.29,7570,3.4,45.2,18511,3.46
Bandarban,,16705992B23463827258150,BGD,ADM2,education,DISTANCE,20000,262102,109251,49.14,8566,3.85,49.04,20543,3.84
Bandarban,,16705992B23463827258150,BGD,ADM2,education,DISTANCE,25000,284444,118587,53.34,9336,4.2,53.22,22342,4.18
Bandarban,,16705992B23463827258150,BGD,ADM2,education,DISTANCE,30000,309267,128634,57.86,10047,4.52,57.86,24823,4.64
Bandarban,,16705992B23463827258150,BGD,ADM2,education,DISTANCE,35000,351008,146313,65.81,17679,7.95,65.67,41741,7.81
Bandarban,,16705992B23463827258150,BGD,ADM2,education,DISTANCE,40000,382183,159354,71.67,13041,5.87,71.51,31175,5.83
Bandarban,,16705992B23463827258150,BGD,ADM2,education,DISTANCE,45000,396009,165139,74.28,5785,2.6,74.09,13826,2.59
Bandarban,,16705992B23463827258150,BGD,ADM2,education,DISTANCE,50000,403878,168383,75.74,3244,1.46,75.57,7869,1.47
Jessore,,16705992B28022870637862,BGD,ADM2,education,DISTANCE,5000,1741971,569766,57.06,569766,57.06,57.07,1741971,57.07
