name,iso,id,country,admin_level,category,range_type,range,population,under_5_population,under_5_population_share,under_5_population_interval,under_5_population_interval_share,school_age_population,school_age_population_share,school_age_population_interval,school_age_population_interval_share,adults_population,adults_population_share,adults_population_interval,adults_population_interval_share,women_childbearing_population,women_childbearing_population_share,women_childbearing_population_interval,women_childbearing_population_interval_share,elderly_population,elderly_population_share,elderly_population_interval,elderly_population_interval_share,population_share,population_interval,population_interval_share
Chuadanga,,16705992B19758630986204,BGD,ADM2,hospitals,TIME,600,189973,13970,15.39,13970,15.39,61441,15.39,61441,15.39,175954,15.4,175954,15.4,57587,15.4,57587,15.4,15504,15.37,15504,15.37,15.39,189973,15.39
Chuadanga,,16705992B19758630986204,BGD,ADM2,hospitals,TIME,1200,561265,41290,45.48,27320,30.09,181547,45.48,120106,30.09,519801,45.48,343847,30.09,170089,45.49,112502,30.09,45854,45.45,30350,30.08,45.48,371292,30.09
Chuadanga,,16705992B19758630986204,BGD,ADM2,hospitals,TIME,1800,981332,72209,79.53,30919,34.05,317446,79.52,135899,34.04,908780,79.52,388979,34.04,297333,79.52,127244,34.03,80228,79.52,34374,34.07,79.52,420067,34.04
Chuadanga,,16705992B19758630986204,BGD,ADM2,hospitals,TIME,2400,1134824,83494,91.96,11285,12.43,367080,91.96,49634,12.43,1050945,91.96,142165,12.44,343868,91.97,46535,12.45,92756,91.94,12528,12.42,91.96,153492,12.44
Chuadanga,,16705992B19758630986204,BGD,ADM2,hospitals,TIME,3000,1163204,85582,94.26,2088,2.3,376265,94.26,9185,2.3,1077222,94.26,26277,2.3,352462,94.26,8594,2.3,95081,94.24,2325,2.3,94.26,28380,2.3
Chuadanga,,16705992B19758630986204,BGD,ADM2,hospitals,TIME,3600,1208152,88887,97.9,3305,3.64,390802,97.9,14537,3.64,1118853,97.9,41631,3.64,366088,97.91,13626,3.64,98749,97.88,3668,3.64,97.9,44948,3.64
Chuadanga,,16705992B19758630986204,BGD,ADM2,hospitals,TIME,4200,1211278,89117,98.15,230,0.25,391813,98.15,1011,0.25,1121749,98.16,2896,0.25,367035,98.16,947,0.25,99004,98.13,255,0.25,98.16,3126,0.25
Chuadanga,,16705992B19758630986204,BGD,ADM2,hospitals,TIME,4800,1219180,89699,98.79,582,0.64,394370,98.79,2557,0.64,1129067,98.8,7318,0.64,369429,98.8,2394,0.64,99651,98.77,647,0.64,98.8,7902,0.64
Chuadanga,,16705992B19758630986204,BGD,ADM2,hospitals,TIME,5400,1219436,89717,98.81,18,0.02,394453,98.81,83,0.02,1129304,98.82,237,0.02,369507,98.82,78,0.02,99672,98.79,21,0.02,98.82,256,0.02
Chuadanga,,16705992B19758630986204,BGD,ADM2,hospitals,TIME,6000,1219437,89717,98.81,0,0.0,394453,98.81,0,0.0,1129304,98.82,0,0.0,369507,98.82,0,0.0,99672,98.79,0,0.0,98.82,1,0.0
Chuadanga,,16705992B19758630986204,BGD,ADM2,hospitals,TIME,6600,1219451,89719,98.81,2,0.0,394458,98.81,5,0.0,1129317,98.82,13,0.0,369511,98.82,4,0.0,99673,98.79,1,0.0,98.82,14,0.0
Chuadanga,,16705992B19758630986204,BGD,ADM2,hospitals,TIME,7200,1219461,89719,98.81,0,0.0,394461,98.81,3,0.0,1129326,98.82,9,0.0,369514,98.82,3,0.0,99674,98.79,1,0.0,98.82,10,0.0
Kushtia,,16705992B21124734124900,BGD,ADM2,hospitals,TIME,600,518737,39188,24.91,39188,24.91,168982,24.91,168982,24.91,478368,24.91,478368,24.91,154618,24.9,154618,24.9,44427,24.92,44427,24.92,24.91,518737,24.91
Kushtia,,16705992B21124734124900,BGD,ADM2,hospitals,TIME,1200,973694,73625,46.81,34437,21.89,317324,46.79,148342,21.87,897938,46.76,419570,21.85,290202,46.74,135584,21.84,83373,46.77,38946,21.85,46.76,454957,21.85
Kushtia,,16705992B21124734124900,BGD,ADM2,hospitals,TIME,1800,1414545,106866,67.94,33241,21.13,460789,67.94,143465,21.15,1304528,67.93,406590,21.17,421742,67.93,131540,21.19,121083,67.92,37710,21.15,67.93,440851,21.17
Kushtia,,16705992B21124734124900,BGD,ADM2,hospitals,TIME,2400,1678144,126754,80.59,19888,12.64,546581,80.59,85792,12.65,1547614,80.59,243086,12.66,500365,80.6,78623,12.66,143658,80.59,22575,12.66,80.59,263599,12.66
Kushtia,,16705992B21124734124900,BGD,ADM2,hospitals,TIME,3000,1719408,129879,82.57,3125,1.99,560038,82.57,13457,1.98,1585668,82.57,38054,1.98,512663,82.58,12298,1.98,147190,82.57,3532,1.98,82.57,41264,1.98
Kushtia,,16705992B21124734124900,BGD,ADM2,hospitals,TIME,3600,1934084,146092,92.88,16213,10.31,629971,92.88,69933,10.31,1783637,92.88,197969,10.31,576659,92.88,63996,10.31,165577,92.88,18387,10.31,92.88,214676,10.31
Kushtia,,16705992B21124734124900,BGD,ADM2,hospitals,TIME,4200,1947435,147104,93.53,1012,0.64,634327,93.53,4356,0.64,1795949,93.52,12312,0.64,580637,93.52,3978,0.64,166719,93.52,1142,0.64,93.52,13351,0.64
Kushtia,,16705992B21124734124900,BGD,ADM2,hospitals,TIME,4800,1958595,147946,94.06,842,0.54,637959,94.06,3632,0.54,1806241,94.06,10292,0.54,583965,94.06,3328,0.54,167675,94.06,956,0.54,94.06,11160,0.54
Kushtia,,16705992B21124734124900,BGD,ADM2,hospitals,TIME,5400,1965325,148455,94.38,509,0.32,640152,94.38,2193,0.32,1812447,94.38,6206,0.32,585971,94.38,2006,0.32,168251,94.38,576,0.32,94.38,6730,0.32
Kushtia,,16705992B21124734124900,BGD,ADM2,hospitals,TIME,6000,2025383,152995,97.27,4540,2.89,659723,97.27,19571,2.89,1867832,97.27,55385,2.88,603871,97.27,17900,2.88,173395,97.27,5144,2.89,97.27,60058,2.88
Kushtia,,16705992B21124734124900,BGD,ADM2,hospitals,TIME,6600,2030346,153370,97.51,375,0.24,661339,97.51,1616,0.24,1872408,97.51,4576,0.24,605351,97.51,1480,0.24,173820,97.51,425,0.24,97.51,4963,0.24
Kushtia,,16705992B21124734124900,BGD,ADM2,hospitals,TIME,7200,2033399,153601,97.66,231,0.15,662334,97.65,995,0.15,1875224,97.65,2816,0.15,606261,97.65,910,0.15,174081,97.65,261,0.15,97.65,3053,0.15
Khulna,,16705992B21968895988188,BGD,ADM2,hospitals,TIME,600,1285869,89694,55.46,89694,55.46,414019,55.48,414019,55.48,1185525,55.54,1185525,55.54,385011,55.51,385011,55.51,110402,55.43,110402,55.43,55.53,1285869,55.53
Khulna,,16705992B21968895988188,BGD,ADM2,hospitals,TIME,1200,1600324,111784,69.12,22090,13.66,515651,69.11,101632,13.62,1475240,69.11,289715,13.57,479212,69.1,94201,13.58,137603,69.09,27201,13.66,69.11,314455,13.58
